         28691456 function calls (27889897 primitive calls) in 90.623 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   23.247   23.247   90.623   90.623 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\MCsimv2.py:451(run_MC)
2358671/1749010    4.680    0.000   25.811    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    86591    2.921    0.000   14.494    0.000 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\MCsimv2.py:1225(dihedral)
      504   12.740    0.025   13.303    0.026 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\MCsimv2.py:789(split_objects)
    86591    0.124    0.000   10.308    0.000 <__array_function__ internals>:2(cross)
    86591    3.340    0.000    9.918    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\numeric.py:1421(cross)
   700663    0.821    0.000    9.143    0.000 <__array_function__ internals>:2(sum)
   700663    1.479    0.000    7.506    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\fromnumeric.py:2092(sum)
   173182    1.565    0.000    7.323    0.000 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\MCsimv2.py:1252(angle)
   716002    1.839    0.000    5.975    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\fromnumeric.py:73(_wrapreduction)
   259773    0.312    0.000    5.840    0.000 <__array_function__ internals>:2(moveaxis)
   346364    0.381    0.000    5.208    0.000 <__array_function__ internals>:2(norm)
   259773    1.722    0.000    5.150    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\numeric.py:1340(moveaxis)
   346364    2.180    0.000    4.330    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\linalg\linalg.py:2316(norm)
   138520    2.312    0.000    4.110    0.000 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\MCsimv2.py:1210(random_three_vector)
     2522    4.071    0.002    4.101    0.002 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\MCsimv2.py:945(histogram)
    68260    2.498    0.000    4.032    0.000 D:\_COURSES\AA Master in Edinburgh\0 Summer project\python code\functions.py:167(get_neigh_indexes_from_coords)
   719410    3.323    0.000    3.323    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   871258    0.876    0.000    2.863    0.000 <__array_function__ internals>:2(dot)
   519546    1.738    0.000    2.632    0.000 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\numpy\core\numeric.py:1277(normalize_axis_tuple)
    68260    1.331    0.000    2.456    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
   411092    2.421    0.000    2.421    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
        8    0.000    0.000    2.284    0.286 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\matplotlib\pyplot.py:251(show)
        8    0.000    0.000    2.284    0.286 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\ipykernel\pylab\backend_inline.py:23(show)
        8    0.000    0.000    2.278    0.285 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\IPython\core\display.py:131(display)
        8    0.000    0.000    2.263    0.283 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\IPython\core\formatters.py:89(format)
       96    0.000    0.000    2.263    0.024 C:\Users\Admin\Anaconda3\envs\bio\lib\site-packages\IPython\core\formatters.py:220(catch_format_error)
       72    0.000    0.000    2.260    0.031 <decorator-gen-9>:1(__call__)
